County,Tax Rate
Alachua,6.25%
Baker,7.00%
Bay,6.50%
Bradford,7.00%
Brevard,6.00%
Broward,6.00%
Calhoun,7.00%
Charlotte,7.00%
Citrus,6.00%
Clay,7.00%
Collier,6.00%
Columbia,7.00%
De Soto,7.00%
Dixie,7.00%
Duval,7.00%
Escambia,7.50%
Flagler,7.00%
Franklin,6.00%
Gadsden,7.00%
Gilchrist,7.00%
Glades,7.00%
Gulf,7.00%
Hamilton,7.00%
Hardee,7.00%
Hendry,7.00%
Hernando,6.50%
Highlands,7.00%
Hillsborough,7.00%
Holmes,7.00%
Indian River,7.00%
Jackson,7.50%
Jefferson,7.00%
Lafayette,7.00%
Lake,7.00%
Lee,6.00%
Leon,7.50%
Levy,7.00%
Liberty,7.00%
Madison,7.50%
Manatee,6.50%
Marion,6.50%
Martin,6.50%
Miami-Dade,7.00%
Monroe,7.50%
Nassau,7.00%
Okaloosa,6.00%
Okeechobee,7.00%
Orange,6,50%
Osceola,7.00%
Palm Beach,6.50%
Pasco,7.00%
Pinellas,7.00%
Polk,7.00%
Putnam,7.00%
St. Johns,6.00%
St. Lucie,6.50%
Santa Rosa,6.50%
Sarasota,7.00%
Seminole,7.00%
Sumter,7.00%
Suwannee,7.00%
Taylor,7.00%
Union,7.00%
Volusia,6.50%
Wakulla,7.00%
Walton,7.00%
Washington,7.00%
